date,description,merchant,amount,type,payment_method,source,category,description_clean
2024-01-07,Amazon Prime movie tickets,Amazon Prime,1428.3,expense,UPI,excel_import,Entertainment,amazon prime movie tickets
2024-01-07,Ajio purchase,Ajio,1614.96,expense,Card,excel_import,Shopping,ajio purchase
2024-01-07,Payment to Gym Membership,Gym Membership,2810.71,expense,Card,manual,Personal Care,payment to gym membership
2024-01-07,Payment to Cafe Coffee Day,Cafe Coffee Day,416.37,expense,UPI,manual,Food,payment to cafe coffee day
2024-01-07,Auto Rickshaw ride payment,Auto Rickshaw,1248.29,expense,UPI,manual,Transport,auto rickshaw ride payment
2024-01-08,KFC dine in,KFC,190.83,expense,Card,csv_import,Food,kfc dine in
2024-01-08,Municipal Water Board bill payment,Municipal Water Board,1345.63,expense,Auto Debit,excel_import,Bills & Utilities,municipal water board bill payment
2024-01-08,Hotstar movie tickets,Hotstar,1454.09,expense,Card,csv_import,Entertainment,hotstar movie tickets
2024-01-08,NEFT-Landlord Transfer-64636,Unknown,9327.1,expense,NEFT,manual,Rent,neft-landlord transfer-64636
2024-01-08,Netmeds consultation fee,Netmeds,3598.19,expense,Card,manual,Healthcare,netmeds consultation fee
2024-01-08,Grocery - Zepto,Zepto,4143.84,expense,Cash,excel_import,Groceries,grocery - zepto
2024-01-08,UPI-Spencer's-18557,Spencer's,1427.83,expense,Card,manual,Groceries,upi-spencers-18557
2024-01-08,UPI-Gym Membership-8967,Gym Membership,2763.16,expense,Card,csv_import,Personal Care,upi-gym membership-8967
2024-01-09,Payment to Flipkart,Flipkart,4919.33,expense,Net Banking,manual,Shopping,payment to flipkart
2024-01-09,Local Restaurant order #41449,Local Restaurant,1178.21,expense,Card,csv_import,Food,local restaurant order #41449
2024-01-09,Local  Kirana  Store  monthly  groceries,Local Kirana Store,2124.18,expense,Card,csv_import,Groceries,local kirana store monthly groceries
2024-01-09,Goibibo hotel booking,Goibibo,20934.58,expense,Card,excel_import,Travel,goibibo hotel booking
2024-01-09,Dominos dine in,Dominos,375.75,expense,Card,csv_import,Food,dominos dine in
2024-01-09,BigBasket monthly groceries,BigBasket,2705.28,expense,Cash,csv_import,Groceries,bigbasket monthly groceries
2024-01-09,POS-Flipkart-60866,Flipkart,3077.57,expense,UPI,excel_import,Shopping,pos-flipkart-60866
2024-01-10,Fuel - Bharat Petroleum,Bharat Petroleum,1475.2,expense,UPI,excel_import,Transport,fuel - bharat petroleum
2024-01-10,Hotstar movie tickets!!,Hotstar,409.35,expense,Card,csv_import,Entertainment,hotstar movie tickets
2024-01-10,Haldiram's dine in,Haldiram's,833.43,expense,Card,excel_import,Food,haldirams dine in
2024-01-10,Indian Oil ride payment,Indian Oil,363.47,expense,UPI,manual,Transport,indian oil ride payment
2024-01-10,DMart order #63959,DMart,1213.86,expense,Card,manual,Groceries,dmart order #63959
2024-01-10,Auto Rickshaw booking,Auto Rickshaw,69.75,expense,Card,manual,Transport,auto rickshaw booking
2024-01-10,UPI-ACT Fibernet-70536,ACT Fibernet,1235.87,expense,Net Banking,csv_import,Bills & Utilities,upi-act fibernet-70536
2024-01-10,SonyLIV subscription,SonyLIV,752.48,expense,UPI,csv_import,Entertainment,sonyliv subscription
2024-01-11,Grocery - More Supermarket,More Supermarket,1122.51,expense,Card,excel_import,Groceries,grocery - more supermarket
2024-01-11,HP Petrol Pump recharge,HP Petrol Pump,1068.92,expense,Card,csv_import,Transport,hp petrol pump recharge
2024-01-11,Steam subscription,Steam,386.09,expense,Card,excel_import,Entertainment,steam subscription
2024-01-11,Zepto delivery,Zepto,1634.74,expense,Card,manual,Groceries,zepto delivery
2024-01-11,OYO Rooms hotel booking,OYO Rooms,17310.84,expense,Card,manual,Travel,oyo rooms hotel booking
2024-01-11,IKEA purchase,IKEA,1431.69,expense,UPI,excel_import,Shopping,ikea purchase
2024-01-12,UPI-Amazon Prime-52043,Amazon Prime,912.33,expense,Card,excel_import,Entertainment,upi-amazon prime-52043
2024-01-12,BSES Electricity bill payment,BSES Electricity,2641.3,expense,UPI,excel_import,Bills & Utilities,bses electricity bill payment
2024-01-12,Payment to Myntra,Myntra,2770.15,expense,Net Banking,excel_import,Shopping,payment to myntra
2024-01-13,Starbucks online order,Starbucks,869.12,expense,Cash,excel_import,Food,starbucks online order
2024-01-13,KFC online order,KFC,515.89,expense,Card,manual,Food,kfc online order
2024-01-13,HP Petrol Pump booking,HP Petrol Pump,1480.51,expense,Card,excel_import,Transport,hp petrol pump booking
2024-01-13,Spencer's monthly groceries,Spencer's,1431.41,expense,UPI,csv_import,Groceries,spencers monthly groceries
2024-01-13,1mg purchase,1mg,3036.6,expense,Card,excel_import,Healthcare,1mg purchase
2024-01-13,OYO Rooms booking,OYO Rooms,24759.3,expense,Card,excel_import,Travel,oyo rooms booking
2024-01-13,UPI-Uber-84776,Uber,302.62,expense,Card,excel_import,Transport,upi-uber-84776
2024-01-13,Payment to BookMyShow,BookMyShow,520.85,expense,Card,csv_import,Entertainment,payment to bookmyshow
2024-01-14,Payment to Dominos,Dominos,548.73,expense,Card,csv_import,Food,payment to dominos
2024-01-14,BigBasket delivery,BigBasket,879.05,expense,Card,manual,Groceries,bigbasket delivery
2024-01-14,Spencer's monthly groceries,Spencer's,3005.33,expense,Card,excel_import,Groceries,spencers monthly groceries
2024-01-14,Payment to Fortis Hospital,Fortis Hospital,589.6,expense,Card,manual,Healthcare,payment to fortis hospital
2024-01-14,  Gym Membership membership renewal,Gym Membership,861.63,expense,Card,csv_import,Personal Care,gym membership membership renewal
2024-01-14,Zomato food delivery,Zomato,315.04,expense,Card,manual,Food,zomato food delivery
2024-01-14,Unacademy subscription,Unacademy,10683.94,expense,Card,manual,Education,unacademy subscription
2024-01-14,Hotstar monthly plan,Hotstar,171.61,expense,UPI,csv_import,Entertainment,hotstar monthly plan
2024-01-14,INOX monthly plan,INOX,582.86,expense,Net Banking,csv_import,Entertainment,inox monthly plan
2024-01-15,UPI-IRCTC-73036,IRCTC,284.36,expense,Card,manual,Transport,upi-irctc-73036
2024-01-15,Ola recharge,Ola,1277.66,expense,Card,csv_import,Transport,ola recharge
2024-01-15,Netmeds medicines,Netmeds,3690.59,expense,Cash,manual,Healthcare,netmeds medicines
2024-01-15,OYO Rooms flight ticket,OYO Rooms,21098.01,expense,Card,csv_import,Travel,oyo rooms flight ticket
2024-01-15,Decathlon purchase,Decathlon,6597.49,expense,UPI,csv_import,Shopping,decathlon purchase
2024-01-15,Local Clinic medicines,Local Clinic,874.48,expense,UPI,csv_import,Healthcare,local clinic medicines
2024-01-15,Metro Card Recharge ride payment,Metro Card Recharge,1784.65,expense,UPI,csv_import,Transport,metro card recharge ride payment
2024-01-15,POS-Decathlon-76459,Decathlon,2687.7,expense,UPI,excel_import,Shopping,pos-decathlon-76459
2024-01-16,Vodafone Idea postpaid bill,Vodafone Idea,792.01,expense,UPI,csv_import,Bills & Utilities,vodafone idea postpaid bill
2024-01-16,UPI-Cult.fit-85564,Cult.fit,842.51,expense,Card,csv_import,Personal Care,upi-cultfit-85564
2024-01-16,Gym Membership membership renewal,Gym Membership,1802.84,expense,Card,csv_import,Personal Care,gym membership membership renewal
2024-01-17,MakeMyTrip hotel booking,MakeMyTrip,8595.7,expense,Net Banking,excel_import,Travel,makemytrip hotel booking
2024-01-17,Indian Oil ride payment,Indian Oil,204.43,expense,Cash,csv_import,Transport,indian oil ride payment
2024-01-17,BookMyShow monthly plan,BookMyShow,282.65,expense,UPI,manual,Entertainment,bookmyshow monthly plan
2024-01-17,BSES Electricity monthly bill,BSES Electricity,475.73,expense,Net Banking,csv_import,Bills & Utilities,bses electricity monthly bill
2024-01-17,Zomato online order,Zomato,219.15,expense,UPI,csv_import,Food,zomato online order
2024-01-17,Spotify subscription,Spotify,1179.31,expense,UPI,excel_import,Entertainment,spotify subscription
2024-01-17,UPI-Bharat Petroleum-44051,Bharat Petroleum,2289.34,expense,UPI,excel_import,Transport,upi-bharat petroleum-44051
2024-01-17,Payment to Ajio,Ajio,6255.27,expense,UPI,csv_import,Shopping,payment to ajio
2024-01-17,MakeMyTrip flight ticket,MakeMyTrip,24094.53,expense,Card,excel_import,Travel,makemytrip flight ticket
2024-01-17,Payment to Decathlon,Decathlon,7223.93,expense,UPI,csv_import,Shopping,payment to decathlon
2024-01-17,Payment to Nykaa,Nykaa,1704.69,expense,Cash,manual,Personal Care,payment to nykaa
2024-01-18,UPI-Blinkit-10567,Blinkit,2766.93,expense,UPI,csv_import,Groceries,upi-blinkit-10567
2024-01-18,Zepto monthly groceries,Zepto,4308.79,expense,UPI,excel_import,Groceries,zepto monthly groceries
2024-01-18,NEFT-NoBroker Rent Pay-17883,NoBroker Rent Pay,30679.77,expense,Net Banking,excel_import,Rent,neft-nobroker rent pay-17883
2024-01-18,UPI-Municipal Water Board-56810,Municipal Water Board,1915.82,expense,Net Banking,csv_import,Bills & Utilities,upi-municipal water board-56810
2024-01-18,Rapido ride payment,Rapido,129.73,expense,Cash,manual,Transport,rapido ride payment
2024-01-18,UPI-ACT Fibernet-38576,ACT Fibernet,1882.2,expense,Auto Debit,excel_import,Bills & Utilities,upi-act fibernet-38576
2024-01-19,UPI-Local Salon-32713,Local Salon,2095.62,expense,Card,csv_import,Personal Care,upi-local salon-32713
2024-01-19,Subway online order,Subway,194.96,expense,Card,manual,Food,subway online order
2024-01-19,BookMyShow monthly plan,BookMyShow,1135.26,expense,UPI,csv_import,Entertainment,bookmyshow monthly plan
2024-01-19,Flipkart online shopping,Flipkart,245.61,expense,Card,manual,Shopping,flipkart online shopping
2024-01-19,Dominos dine in,Dominos,836.45,expense,Card,csv_import,Food,dominos dine in
2024-01-20,Reliance Fresh delivery,Reliance Fresh,1936.05,expense,Card,csv_import,Groceries,reliance fresh delivery
2024-01-21,Zepto order #37639,Zepto,4128.92,expense,UPI,excel_import,Groceries,zepto order #37639
2024-01-21,Steam monthly plan,Steam,1074.04,expense,Net Banking,manual,Entertainment,steam monthly plan
2024-01-21,Netflix subscription,Netflix,1441.62,expense,UPI,manual,Entertainment,netflix subscription
2024-01-21,UPI-McDonalds-29679,McDonalds,669.62,expense,UPI,csv_import,Food,upi-mcdonalds-29679
2024-01-21,Subway online order,Subway,1133.27,expense,Card,manual,Food,subway online order
2024-01-21,UPI-Haldiram's-10689,Haldiram's,806.73,expense,Card,excel_import,Food,upi-haldirams-10689
2024-01-22,UPI-BigBasket-38830,BigBasket,558.02,expense,Card,csv_import,Groceries,upi-bigbasket-38830
2024-01-22,Subway food delivery,Subway,798.82,expense,Card,excel_import,Food,subway food delivery
2024-01-22,BigBasket order #56033,BigBasket,4213.41,expense,UPI,csv_import,Groceries,bigbasket order #56033
2024-01-22,Local Coaching Center course fee,Local Coaching Center,4469.14,expense,Net Banking,csv_import,Education,local coaching center course fee
2024-01-22,Metro Card Recharge recharge,Metro Card Recharge,366.79,expense,Cash,csv_import,Transport,metro card recharge recharge
2024-01-22,Nykaa online shopping,Nykaa,4091.48,expense,Card,csv_import,Shopping,nykaa online shopping
2024-01-22,Fuel - Uber,Uber,2150.95,expense,Card,csv_import,Transport,fuel - uber
2024-01-23,Payment to KFC,KFC,286.98,expense,Cash,excel_import,Food,payment to kfc
2024-01-23,McDonalds online order,McDonalds,724.26,expense,Card,excel_import,Food,mcdonalds online order
2024-01-24,HP Petrol Pump ride payment,HP Petrol Pump,1688.23,expense,Card,csv_import,Transport,hp petrol pump ride payment
2024-01-24,Haldiram's online order,Haldiram's,549.67,expense,UPI,excel_import,Food,haldirams online order
2024-01-24,Fuel - Auto Rickshaw,Auto Rickshaw,814.82,expense,UPI,csv_import,Transport,fuel - auto rickshaw
2024-01-25,Payment to Ajio,Ajio,5031.3,expense,Card,excel_import,Shopping,payment to ajio
2024-01-25,Payment to Nykaa,Nykaa,5435.69,expense,Card,manual,Shopping,payment to nykaa
2024-01-25,Fuel - HP Petrol Pump,HP Petrol Pump,838.52,expense,Card,csv_import,Transport,fuel - hp petrol pump
2024-01-25,Indian Oil booking,Indian Oil,2286.61,expense,Cash,manual,Transport,indian oil booking
2024-01-25,POS-Big Bazaar-86905,Big Bazaar,6203.51,expense,Card,csv_import,Shopping,pos-big bazaar-86905
2024-01-26,Payment to Reliance Trends,Reliance Trends,424.81,expense,Net Banking,csv_import,Shopping,payment to reliance trends
2024-01-27,Cleartrip flight ticket,Cleartrip,6363.4,expense,Net Banking,manual,Travel,cleartrip flight ticket
2024-01-27,Payment to Byju's,Byju's,8880.7,expense,Net Banking,excel_import,Education,payment to byjus
2024-01-27,POS-Amazon-46587,Amazon,7298.42,expense,UPI,csv_import,Shopping,pos-amazon-46587
2024-01-27,Payment to Cleartrip,Cleartrip,18794.68,expense,Card,excel_import,Travel,payment to cleartrip
2024-01-27,Vistara flight ticket,Vistara,16901.91,expense,Net Banking,csv_import,Travel,vistara flight ticket
2024-01-28,Haldiram's food delivery,Haldiram's,878.9,expense,Card,csv_import,Food,haldirams food delivery
2024-01-28,Gym Membership membership renewal,Gym Membership,2574.1,expense,Cash,csv_import,Personal Care,gym membership membership renewal
2024-01-28,Starbucks online order,Starbucks,401.23,expense,UPI,manual,Food,starbucks online order
2024-01-28,Monthly salary - Company Payroll,Company Payroll,78400.0,income,NEFT,excel_import,Salary,monthly salary - company payroll
2024-01-28,Monthly salary - Acme Corp Payroll,Acme Corp Payroll,53200.0,income,NEFT,excel_import,Salary,monthly salary - acme corp payroll
2024-01-28,Airtel bill payment,Airtel,2869.81,expense,Auto Debit,csv_import,Bills & Utilities,airtel bill payment
2024-01-28,Flipkart order #11644,Flipkart,7972.32,expense,Net Banking,csv_import,Shopping,flipkart order #11644
2024-01-29,UPI-BigBasket-93847,BigBasket,3804.98,expense,Card,excel_import,Groceries,upi-bigbasket-93847
2024-01-29,UPI-Dominos-18540,Unknown,812.61,expense,Cash,excel_import,Food,upi-dominos-18540
2024-01-29,Urban Company service,Urban Company,2040.25,expense,UPI,excel_import,Personal Care,urban company service
2024-01-29,Grocery - Local Kirana Store,Local Kirana Store,701.54,expense,Cash,excel_import,Groceries,grocery - local kirana store
2024-01-29,IKEA purchase,IKEA,7673.57,expense,Card,csv_import,Shopping,ikea purchase
2024-01-29,UPI-LPG Gas Agency-53020,LPG Gas Agency,2455.89,expense,Net Banking,manual,Bills & Utilities,upi-lpg gas agency-53020
2024-01-29,Reliance Fresh monthly groceries,Reliance Fresh,1413.93,expense,Card,manual,Groceries,reliance fresh monthly groceries
2024-01-29,Payment to Decathlon,Decathlon,7579.73,expense,UPI,excel_import,Shopping,payment to decathlon
2024-01-30,UPI-Zepto-12584,Zepto,1328.34,expense,Card,manual,Groceries,upi-zepto-12584
2024-01-30,UPI-Blinkit-20129,Blinkit,1518.81,expense,Card,manual,Groceries,upi-blinkit-20129
2024-01-30,UPI-Local Restaurant-14466,Local Restaurant,330.9,expense,UPI,manual,Food,upi-local restaurant-14466
2024-01-30,Spencer's order #18049,Spencer's,2277.09,expense,Cash,manual,Groceries,spencers order #18049
2024-01-30,Amazon order #44461,Amazon,7132.8,expense,Card,excel_import,Shopping,amazon order #44461
2024-01-30,Local Coaching Center tuition fee,Local Coaching Center,8900.92,expense,Card,csv_import,Education,local coaching center tuition fee
2024-01-31,Bharat Petroleum recharge,Bharat Petroleum,968.02,expense,Cash,manual,Transport,bharat petroleum recharge
2024-01-31,Rapido recharge,Rapido,60.83,expense,UPI,csv_import,Transport,rapido recharge
2024-01-31,KFC online order,KFC,973.01,expense,Cash,excel_import,Food,kfc online order
2024-01-31,Gym Membership service,Gym Membership,2787.98,expense,Cash,csv_import,Personal Care,gym membership service
2024-01-31,Housing Society rent transfer,Housing Society,11095.55,expense,NEFT,csv_import,Rent,housing society rent transfer
2024-01-31,Auto-debit Jio,Jio,541.63,expense,Auto Debit,manual,Bills & Utilities,auto-debit jio
2024-01-31,UPI-Local Restaurant-29707,Local Restaurant,1083.26,expense,Card,manual,Food,upi-local restaurant-29707
2024-01-31,Metro Card Recharge ride payment,Metro Card Recharge,1925.32,expense,Card,csv_import,Transport,metro card recharge ride payment
2024-02-01,Subway food delivery,Subway,366.48,expense,Card,csv_import,Food,subway food delivery
2024-02-01,NEFT-Company Payroll-93855,Company Payroll,103200.0,income,Bank Transfer,excel_import,Salary,neft-company payroll-93855
2024-02-01,UPI-Swiggy-83788,Swiggy,990.16,expense,Cash,csv_import,Food,upi-swiggy-83788
2024-02-01,Spencer's delivery,Spencer's,973.31,expense,UPI,csv_import,Groceries,spencers delivery
2024-02-01,Salary credit February,Acme Corp Payroll,32500.0,income,NEFT,excel_import,Salary,salary credit february
2024-02-01,Infosys Salary salary,Infosys Salary,51600.0,income,Bank Transfer,manual,Salary,infosys salary salary
2024-02-01,Monthly salary - Company Payroll,Company Payroll,65900.0,income,NEFT,excel_import,Salary,monthly salary - company payroll
2024-02-01,Employer Pvt Ltd salary,Employer Pvt Ltd,117900.0,income,NEFT,csv_import,Salary,employer pvt ltd salary
2024-02-01,IKEA online shopping,IKEA,5549.04,expense,UPI,csv_import,Shopping,ikea online shopping
2024-02-01,HCL Salary salary,HCL Salary,53700.0,income,NEFT,excel_import,Salary,hcl salary salary
2024-02-02,Payment to Swiggy,Swiggy,1042.79,expense,UPI,excel_import,Food,payment to swiggy
2024-02-02,UPI-Spencer's-99572,Spencer's,2072.36,expense,Cash,manual,Groceries,upi-spencers-99572
2024-02-02,Fuel - Indian Oil,Indian Oil,2470.14,expense,Card,manual,Transport,fuel - indian oil
2024-02-02,UPI-PVR Cinemas-18631,PVR Cinemas,264.14,expense,Net Banking,manual,Entertainment,upi-pvr cinemas-18631
2024-02-02,Grocery - Blinkit,Blinkit,3688.63,expense,Card,csv_import,Groceries,grocery - blinkit
2024-02-03,Payment to KFC,KFC,444.49,expense,Cash,manual,Food,payment to kfc
2024-02-03,Amazon Prime subscription,Amazon Prime,1054.52,expense,UPI,excel_import,Entertainment,amazon prime subscription
2024-02-03,Zepto order #55336,Zepto,365.23,expense,UPI,csv_import,Groceries,zepto order #55336
2024-02-03,UPI-Lakme Salon-75381,Lakme Salon,709.83,expense,UPI,excel_import,Personal Care,upi-lakme salon-75381
2024-02-03,Blinkit order #74068,Blinkit,2527.61,expense,UPI,manual,Groceries,blinkit order #74068
2024-02-04,UPI-BSES Electricity-36786,BSES Electricity,2353.46,expense,Auto Debit,csv_import,Bills & Utilities,upi-bses electricity-36786
2024-02-04,spencer's order #40408   ,Spencer's,3846.83,expense,Card,manual,Groceries,spencers order #40408
2024-02-04,Auto-debit Airtel,Airtel,1156.43,expense,Auto Debit,excel_import,Bills & Utilities,auto-debit airtel
2024-02-04,Grocery - Spencer's,Spencer's,1136.56,expense,Cash,manual,Groceries,grocery - spencers
2024-02-04,Amazon Prime subscription,Amazon Prime,627.73,expense,Net Banking,manual,Entertainment,amazon prime subscription
2024-02-04,Uber ride payment,Uber,2096.68,expense,UPI,manual,Transport,uber ride payment
2024-02-05,Ajio online shopping,Ajio,4990.03,expense,Net Banking,manual,Shopping,ajio online shopping
2024-02-05,Cafe Coffee Day food delivery,Cafe Coffee Day,174.76,expense,UPI,excel_import,Food,cafe coffee day food delivery
2024-02-05,IKEA purchase,IKEA,1469.54,expense,Net Banking,excel_import,Shopping,ikea purchase
2024-02-05,Grocery - BigBasket,BigBasket,2538.72,expense,Cash,csv_import,Groceries,grocery - bigbasket
2024-02-05,UPI-Indian Oil-93685,Indian Oil,1680.61,expense,Card,manual,Transport,upi-indian oil-93685
2024-02-06,Payment to Swiggy,Swiggy,313.9,expense,Cash,csv_import,Food,payment to swiggy
2024-02-06,Landlord Transfer rent transfer,Landlord Transfer,25842.64,expense,NEFT,csv_import,Rent,landlord transfer rent transfer
2024-02-06,Decathlon online shopping,Decathlon,456.31,expense,Net Banking,excel_import,Shopping,decathlon online shopping
2024-02-06,Local Coaching Center tuition fee,Local Coaching Center,7485.64,expense,Card,excel_import,Education,local coaching center tuition fee
2024-02-06,Nykaa membership renewal,Nykaa,2331.7,expense,Card,excel_import,Personal Care,nykaa membership renewal
2024-02-06,UPI-Local Kirana Store-97564,Local Kirana Store,2748.7,expense,Cash,manual,Groceries,upi-local kirana store-97564
2024-02-07,UPI-School Fee Office-13772,School Fee Office,2778.97,expense,Card,csv_import,Education,upi-school fee office-13772
2024-02-07,Spencer's order #20503,Spencer's,472.01,expense,UPI,csv_import,Groceries,spencers order #20503
2024-02-07,OYO Rooms flight ticket,OYO Rooms,12295.16,expense,Card,manual,Travel,oyo rooms flight ticket
2024-02-07,Payment to Big Bazaar,Big Bazaar,3732.69,expense,Card,excel_import,Shopping,payment to big bazaar
2024-02-07,UPI-Health & Glow-7825,Health & Glow,978.49,expense,Card,manual,Personal Care,upi-health  glow-7825
2024-02-07,Payment to Cult.fit,Cult.fit,690.8,expense,Cash,excel_import,Personal Care,payment to cultfit
2024-02-07,Indian Oil recharge,Indian Oil,737.85,expense,Cash,excel_import,Transport,indian oil recharge
2024-02-08,Amazon purchase,Amazon,1673.49,expense,Net Banking,excel_import,Shopping,amazon purchase
2024-02-08,Amazon order #80717,Amazon,1407.19,expense,UPI,excel_import,Shopping,amazon order #80717
2024-02-08,Payment to Dominos,Dominos,225.2,expense,Card,manual,Food,payment to dominos
2024-02-08,Bharat Petroleum recharge,Bharat Petroleum,348.48,expense,Card,excel_import,Transport,bharat petroleum recharge
2024-02-08,Practo purchase,Practo,3764.32,expense,Card,manual,Healthcare,practo purchase
2024-02-09,POS-Myntra-35795,Myntra,1045.54,expense,UPI,csv_import,Shopping,pos-myntra-35795
2024-02-09,McDonalds order #86799,McDonalds,286.37,expense,Cash,csv_import,Food,mcdonalds order #86799
2024-02-10,IRCTC ride payment,IRCTC,1021.93,expense,Card,excel_import,Transport,irctc ride payment
2024-02-10,BigBasket monthly groceries,BigBasket,2925.07,expense,UPI,csv_import,Groceries,bigbasket monthly groceries
2024-02-10,UPI-Swiggy-11793,Swiggy,768.09,expense,UPI,manual,Food,upi-swiggy-11793
2024-02-11,Apollo Pharmacy consultation fee,Apollo Pharmacy,3851.08,expense,Card,csv_import,Healthcare,apollo pharmacy consultation fee
2024-02-11,Fuel - Bharat Petroleum,Bharat Petroleum,1146.15,expense,Card,excel_import,Transport,fuel - bharat petroleum
2024-02-11,UPI-Vistara-12471,Vistara,5382.71,expense,Net Banking,csv_import,Travel,upi-vistara-12471
2024-02-11,Zepto order #86426,Zepto,3467.78,expense,UPI,manual,Groceries,zepto order #86426
2024-02-11,Spotify monthly plan,Spotify,169.98,expense,Net Banking,excel_import,Entertainment,spotify monthly plan
2024-02-11,Local Restaurant dine in,Local Restaurant,648.0,expense,Card,manual,Food,local restaurant dine in
2024-02-11,Gym Membership service,Gym Membership,1399.82,expense,Cash,csv_import,Personal Care,gym membership service
2024-02-11,Payment to McDonalds,McDonalds,338.56,expense,UPI,excel_import,Food,payment to mcdonalds
2024-02-11,Payment to IKEA,Unknown,4997.42,expense,UPI,csv_import,Shopping,payment to ikea
2024-02-11,POS-Croma-61085,Croma,796.98,expense,UPI,manual,Shopping,pos-croma-61085
2024-02-11,PVR Cinemas movie tickets,PVR Cinemas,365.02,expense,Net Banking,manual,Entertainment,pvr cinemas movie tickets
